Pixel;q_xy(A^-1);Intensity
558.000000;-0.782003;2295.952000
559.000000;-0.779579;2271.333000
560.000000;-0.777155;2289.952000
561.000000;-0.774730;2312.190000
562.000000;-0.772304;2326.714000
563.000000;-0.769879;2338.714000
564.000000;-0.767453;2403.714000
565.000000;-0.765026;2500.190000
566.000000;-0.762599;2538.333000
567.000000;-0.760172;2633.667000
568.000000;-0.757744;2753.810000
569.000000;-0.755316;2794.905000
570.000000;-0.752887;2848.524000
571.000000;-0.750459;2899.333000
572.000000;-0.748029;2925.524000
573.000000;-0.745600;2940.286000
574.000000;-0.743169;2894.000000
575.000000;-0.740739;2874.143000
576.000000;-0.738308;2839.190000
577.000000;-0.735877;2811.714000
578.000000;-0.733445;2778.333000
579.000000;-0.731013;2724.476000
580.000000;-0.728581;2659.905000
581.000000;-0.726148;2572.667000
582.000000;-0.723715;2518.619000
583.000000;-0.721281;2448.095000
584.000000;-0.718848;2400.143000
585.000000;-0.716413;2395.714000
586.000000;-0.713979;2367.667000
587.000000;-0.711544;2365.857000
588.000000;-0.709108;2357.571000
589.000000;-0.706672;2333.381000
590.000000;-0.704236;2325.190000
591.000000;-0.701800;2341.095000
592.000000;-0.699363;2304.810000
593.000000;-0.696926;2320.762000
594.000000;-0.694488;2279.619000
595.000000;-0.692050;2294.762000
596.000000;-0.689612;2242.190000
597.000000;-0.687173;2242.952000
598.000000;-0.684734;2232.190000
599.000000;-0.682294;2211.762000
600.000000;-0.679855;2189.143000
601.000000;-0.677414;2184.143000
602.000000;-0.674974;2176.333000
603.000000;-0.672533;2198.048000
604.000000;-0.670092;2146.095000
605.000000;-0.667650;2200.190000
606.000000;-0.665208;2175.857000
607.000000;-0.662766;2189.095000
608.000000;-0.660323;2185.524000
609.000000;-0.657880;2176.619000
610.000000;-0.655437;2181.476000
611.000000;-0.652993;2176.429000
612.000000;-0.650549;2185.000000
613.000000;-0.648105;2178.333000
614.000000;-0.645660;2178.048000
615.000000;-0.643215;2170.000000
616.000000;-0.640770;2166.381000
617.000000;-0.638324;2158.810000
618.000000;-0.635878;2176.952000
619.000000;-0.633432;2154.429000
620.000000;-0.630985;2167.857000
621.000000;-0.628538;2158.857000
622.000000;-0.626091;2173.048000
623.000000;-0.623643;2193.571000
624.000000;-0.621195;2208.476000
625.000000;-0.618746;2250.762000
626.000000;-0.616298;2235.714000
627.000000;-0.613849;2279.381000
628.000000;-0.611399;2307.524000
629.000000;-0.608950;2307.143000
630.000000;-0.606500;2325.857000
631.000000;-0.604049;2299.238000
632.000000;-0.601599;2290.143000
633.000000;-0.599148;2249.048000
634.000000;-0.596696;2248.476000
635.000000;-0.594245;2201.143000
636.000000;-0.591793;2187.429000
637.000000;-0.589341;2148.333000
638.000000;-0.586888;2119.095000
639.000000;-0.584435;2098.143000
640.000000;-0.581982;2079.524000
641.000000;-0.579529;2029.476000
642.000000;-0.577075;2015.571000
643.000000;-0.574621;2016.476000
644.000000;-0.572166;2030.857000
645.000000;-0.569712;2006.143000
646.000000;-0.567257;2011.619000
647.000000;-0.564801;1997.190000
648.000000;-0.562346;1990.048000
649.000000;-0.559890;1979.476000
650.000000;-0.557434;1978.429000
651.000000;-0.554977;1964.810000
652.000000;-0.552521;1978.190000
653.000000;-0.550063;1977.619000
654.000000;-0.547606;1970.905000
655.000000;-0.545148;1981.714000
656.000000;-0.542690;1972.143000
657.000000;-0.540232;1981.667000
658.000000;-0.537774;1984.143000
659.000000;-0.535315;1963.524000
660.000000;-0.532856;1977.381000
661.000000;-0.530396;1971.095000
662.000000;-0.527937;1985.762000
663.000000;-0.525477;1991.619000
664.000000;-0.523017;1964.952000
665.000000;-0.520556;1979.095000
666.000000;-0.518095;1978.333000
667.000000;-0.515634;1986.667000
668.000000;-0.513173;1985.952000
669.000000;-0.510711;1990.429000
670.000000;-0.508249;2003.000000
671.000000;-0.505787;2023.619000
672.000000;-0.503325;2028.286000
673.000000;-0.500862;2046.048000
674.000000;-0.498399;2060.810000
675.000000;-0.495936;2098.143000
676.000000;-0.493472;2097.571000
677.000000;-0.491009;2114.619000
678.000000;-0.488545;2129.571000
679.000000;-0.486080;2174.333000
680.000000;-0.483616;2164.143000
681.000000;-0.481151;2164.619000
