q_z(A^-1);Intensity
-0.054110;557.763200
-0.056600;548.118400
-0.059089;550.855300
-0.061579;544.631600
-0.064068;540.552600
-0.066558;536.671100
-0.069047;533.986800
-0.071536;534.407900
-0.074025;527.000000
-0.076515;526.815800
-0.079004;519.342100
-0.081493;515.315800
-0.083982;513.328900
-0.086471;517.052600
