Pixel;q_z(A^-1);Intensity
658.000000;0.756673;2538.395000
659.000000;0.754265;2517.382000
660.000000;0.751856;2502.724000
661.000000;0.749447;2483.987000
662.000000;0.747037;2457.671000
663.000000;0.744626;2458.368000
664.000000;0.742216;2447.447000
665.000000;0.739804;2424.645000
666.000000;0.737392;2417.197000
667.000000;0.734980;2415.355000
668.000000;0.732567;2418.697000
669.000000;0.730153;2411.697000
670.000000;0.727739;2406.079000
671.000000;0.725325;2406.132000
672.000000;0.722910;2405.092000
673.000000;0.720494;2401.553000
674.000000;0.718078;2387.276000
675.000000;0.715662;2396.776000
676.000000;0.713245;2400.974000
677.000000;0.710828;2387.553000
678.000000;0.708410;2387.579000
679.000000;0.705991;2392.026000
680.000000;0.703572;2388.592000
681.000000;0.701153;2394.079000
682.000000;0.698733;2382.250000
683.000000;0.696313;2387.118000
684.000000;0.693892;2397.132000
685.000000;0.691470;2387.132000
686.000000;0.689049;2386.829000
687.000000;0.686626;2382.132000
688.000000;0.684203;2396.329000
689.000000;0.681780;2402.039000
690.000000;0.679356;2382.908000
691.000000;0.676932;2395.987000
692.000000;0.674508;2400.250000
693.000000;0.672082;2400.421000
694.000000;0.669657;2397.039000
695.000000;0.667231;2405.895000
696.000000;0.664804;2401.513000
697.000000;0.662377;2409.711000
698.000000;0.659950;2413.118000
699.000000;0.657522;2412.789000
700.000000;0.655093;2417.303000
701.000000;0.652665;2409.816000
702.000000;0.650235;2428.605000
703.000000;0.647805;2423.737000
704.000000;0.645375;2419.816000
705.000000;0.642945;2431.224000
706.000000;0.640514;2422.895000
707.000000;0.638082;2434.579000
708.000000;0.635650;2438.066000
709.000000;0.633218;2441.395000
710.000000;0.630785;2457.197000
711.000000;0.628351;2441.908000
712.000000;0.625918;2463.803000
713.000000;0.623483;2440.974000
714.000000;0.621049;2449.539000
715.000000;0.618614;2460.908000
716.000000;0.616178;2456.921000
717.000000;0.613742;2471.184000
718.000000;0.611306;2487.421000
719.000000;0.608869;2486.237000
720.000000;0.606432;2492.803000
721.000000;0.603994;2496.632000
722.000000;0.601556;2507.395000
723.000000;0.599118;2523.145000
724.000000;0.596679;2532.711000
725.000000;0.594240;2541.355000
726.000000;0.591800;2553.789000
727.000000;0.589360;2571.684000
728.000000;0.586919;2580.566000
729.000000;0.584478;2605.987000
730.000000;0.582037;2619.697000
731.000000;0.579595;2637.684000
732.000000;0.577153;2683.395000
733.000000;0.574710;2675.684000
734.000000;0.572267;2701.289000
735.000000;0.569824;2727.737000
736.000000;0.567380;2800.408000
737.000000;0.564936;2814.224000
738.000000;0.562491;2853.276000
739.000000;0.560046;2898.539000
740.000000;0.557601;2949.513000
741.000000;0.555155;3015.408000
742.000000;0.552709;3065.960000
743.000000;0.550262;3161.000000
744.000000;0.547815;3250.132000
745.000000;0.545368;3347.526000
746.000000;0.542920;3461.737000
747.000000;0.540472;3589.303000
748.000000;0.538024;3739.303000
749.000000;0.535575;3930.118000
750.000000;0.533125;4144.053000
751.000000;0.530676;4415.132000
752.000000;0.528226;4729.632000
753.000000;0.525776;5118.461000
754.000000;0.523325;5566.132000
755.000000;0.520874;6110.711000
