Pixel;q_z(A^-1);Intensity
646.000000;0.840848;2499.632000
647.000000;0.838459;2527.908000
648.000000;0.836070;2558.368000
649.000000;0.833679;2575.158000
650.000000;0.831288;2590.237000
651.000000;0.828897;2600.645000
652.000000;0.826505;2592.776000
653.000000;0.824113;2595.868000
654.000000;0.821719;2583.539000
655.000000;0.819326;2572.934000
656.000000;0.816932;2570.566000
657.000000;0.814537;2555.566000
658.000000;0.812141;2538.395000
659.000000;0.809746;2517.382000
660.000000;0.807349;2502.724000
661.000000;0.804952;2483.987000
662.000000;0.802555;2457.671000
663.000000;0.800156;2458.368000
664.000000;0.797758;2447.447000
665.000000;0.795359;2424.645000
666.000000;0.792959;2417.197000
667.000000;0.790559;2415.355000
668.000000;0.788158;2418.697000
669.000000;0.785756;2411.697000
670.000000;0.783354;2406.079000
671.000000;0.780952;2406.132000
672.000000;0.778549;2405.092000
673.000000;0.776145;2401.553000
674.000000;0.773741;2387.276000
675.000000;0.771337;2396.776000
676.000000;0.768932;2400.974000
677.000000;0.766526;2387.553000
678.000000;0.764120;2387.579000
679.000000;0.761713;2392.026000
680.000000;0.759306;2388.592000
681.000000;0.756898;2394.079000
682.000000;0.754490;2382.250000
683.000000;0.752081;2387.118000
684.000000;0.749672;2397.132000
685.000000;0.747262;2387.132000
686.000000;0.744852;2386.829000
687.000000;0.742441;2382.132000
688.000000;0.740029;2396.329000
689.000000;0.737617;2402.039000
690.000000;0.735205;2382.908000
691.000000;0.732792;2395.987000
692.000000;0.730379;2400.250000
693.000000;0.727965;2400.421000
694.000000;0.725550;2397.039000
695.000000;0.723135;2405.895000
696.000000;0.720720;2401.513000
697.000000;0.718304;2409.711000
698.000000;0.715888;2413.118000
699.000000;0.713471;2412.789000
700.000000;0.711053;2417.303000
701.000000;0.708635;2409.816000
702.000000;0.706217;2428.605000
703.000000;0.703798;2423.737000
704.000000;0.701379;2419.816000
705.000000;0.698959;2431.224000
706.000000;0.696539;2422.895000
707.000000;0.694118;2434.579000
708.000000;0.691697;2438.066000
709.000000;0.689275;2441.395000
710.000000;0.686852;2457.197000
711.000000;0.684430;2441.908000
712.000000;0.682007;2463.803000
713.000000;0.679583;2440.974000
714.000000;0.677159;2449.539000
715.000000;0.674734;2460.908000
716.000000;0.672309;2456.921000
717.000000;0.669883;2471.184000
718.000000;0.667457;2487.421000
719.000000;0.665031;2486.237000
720.000000;0.662604;2492.803000
721.000000;0.660176;2496.632000
722.000000;0.657749;2507.395000
723.000000;0.655320;2523.145000
724.000000;0.652891;2532.711000
725.000000;0.650462;2541.355000
726.000000;0.648032;2553.789000
727.000000;0.645602;2571.684000
728.000000;0.643172;2580.566000
729.000000;0.640741;2605.987000
730.000000;0.638309;2619.697000
731.000000;0.635877;2637.684000
732.000000;0.633445;2683.395000
733.000000;0.631012;2675.684000
734.000000;0.628579;2701.289000
735.000000;0.626145;2727.737000
736.000000;0.623711;2800.408000
737.000000;0.621276;2814.224000
738.000000;0.618841;2853.276000
739.000000;0.616406;2898.539000
740.000000;0.613970;2949.513000
741.000000;0.611533;3015.408000
742.000000;0.609097;3065.960000
743.000000;0.606660;3161.000000
744.000000;0.604222;3250.132000
745.000000;0.601784;3347.526000
746.000000;0.599345;3461.737000
747.000000;0.596907;3589.303000
748.000000;0.594467;3739.303000
749.000000;0.592028;3930.118000
750.000000;0.589588;4144.053000
751.000000;0.587147;4415.132000
752.000000;0.584706;4729.632000
753.000000;0.582265;5118.461000
754.000000;0.579823;5566.132000
755.000000;0.577381;6110.711000
756.000000;0.574938;6702.934000
757.000000;0.572495;7338.947000
758.000000;0.570052;8023.842000
759.000000;0.567608;8706.184000
760.000000;0.565164;9321.961000
761.000000;0.562719;9923.197000
762.000000;0.560274;10466.830000
763.000000;0.557829;10940.300000
764.000000;0.555383;11383.950000
765.000000;0.552937;11806.290000
766.000000;0.550491;12224.290000
767.000000;0.548044;12626.670000
768.000000;0.545596;13056.030000
769.000000;0.543149;13521.880000
770.000000;0.540701;13937.200000
771.000000;0.538252;14333.160000
772.000000;0.535803;14656.760000
773.000000;0.533354;14825.380000
774.000000;0.530905;14869.280000
775.000000;0.528455;14822.890000
776.000000;0.526004;14345.880000
777.000000;0.523554;13778.530000
778.000000;0.521103;13059.660000
779.000000;0.518651;12206.930000
780.000000;0.516199;11294.820000
781.000000;0.513747;10340.960000
782.000000;0.511295;9424.934000
783.000000;0.508842;8511.750000
784.000000;0.506389;7675.882000
785.000000;0.503935;6956.855000
786.000000;0.501481;6314.684000
787.000000;0.499027;5779.447000
788.000000;0.496572;5301.618000
789.000000;0.494117;4954.579000
790.000000;0.491662;4637.000000
791.000000;0.489206;4416.500000
792.000000;0.486750;4230.974000
793.000000;0.484294;4103.553000
794.000000;0.481837;4023.842000
795.000000;0.479380;3969.961000
796.000000;0.476922;3975.750000
797.000000;0.474465;3986.882000
798.000000;0.472007;4002.513000
799.000000;0.469548;4026.868000
800.000000;0.467089;4092.276000
801.000000;0.464630;4188.408000
802.000000;0.462171;4347.947000
803.000000;0.459711;4599.500000
804.000000;0.457251;5008.355000
805.000000;0.454791;5600.921000
806.000000;0.452330;6377.697000
807.000000;0.449869;7303.855000
808.000000;0.447408;8209.447000
809.000000;0.444946;8935.934000
810.000000;0.442484;9342.737000
811.000000;0.440022;9431.974000
812.000000;0.437559;9214.947000
813.000000;0.435096;8762.842000
814.000000;0.432633;8194.171000
815.000000;0.430169;7692.566000
816.000000;0.427706;7247.579000
817.000000;0.425242;6946.026000
818.000000;0.422777;6764.461000
819.000000;0.420312;6738.579000
820.000000;0.417847;6803.289000
821.000000;0.415382;6995.434000
822.000000;0.412916;7255.184000
823.000000;0.410450;7595.934000
824.000000;0.407984;8033.553000
825.000000;0.405518;8536.316000
826.000000;0.403051;9127.368000
827.000000;0.400584;9798.579000
828.000000;0.398117;10608.530000
829.000000;0.395649;11478.950000
830.000000;0.393181;12441.680000
831.000000;0.390713;12813.170000
832.000000;0.388244;nan
833.000000;0.385776;nan
834.000000;0.383307;nan
835.000000;0.380837;nan
836.000000;0.378368;nan
837.000000;0.375898;nan
838.000000;0.373428;nan
839.000000;0.370957;nan
840.000000;0.368487;nan
841.000000;0.366016;nan
842.000000;0.363545;nan
843.000000;0.361073;nan
844.000000;0.358602;nan
845.000000;0.356130;nan
846.000000;0.353658;nan
847.000000;0.351185;nan
848.000000;0.348713;nan
