q_z(A^-1);Intensity
0.289298;20267.070000
0.286820;19345.390000
0.284341;18388.250000
0.281862;17533.160000
0.279384;16728.030000
0.276904;15985.870000
0.274425;15294.250000
0.271945;14655.700000
0.269466;14093.250000
0.266986;13590.910000
0.264506;13128.140000
0.262025;12707.250000
0.259545;12339.200000
0.257064;11989.130000
0.254583;11732.860000
0.252102;11457.890000
0.249621;11228.550000
0.247140;11071.720000
0.244658;10920.470000
0.242176;10787.870000
0.239695;10710.820000
0.237212;10653.760000
0.234730;10570.870000
0.232248;10552.490000
0.229765;10525.160000
0.227282;10542.950000
0.224800;10579.950000
0.222316;10628.000000
0.219833;10718.760000
0.217350;10811.460000
0.214866;10880.610000
0.212383;11025.700000
0.209899;11141.500000
0.207415;11317.760000
0.204931;11509.960000
0.202446;11661.970000
0.199962;11901.320000
0.197477;12108.970000
0.194993;12345.700000
0.192508;12642.070000
0.190023;12920.990000
0.187538;13213.930000
0.185053;13588.740000
0.182567;13865.360000
0.180082;14314.660000
0.177596;11278.170000
0.175110;6015.303000
0.172624;5645.197000
0.170138;5493.882000
0.167652;5394.132000
0.165166;5414.224000
0.162680;5383.211000
0.160193;5435.539000
0.157707;5292.987000
0.155220;5304.711000
0.152733;5340.987000
0.150246;5350.092000
0.147759;5385.329000
0.145272;5445.487000
0.142785;5459.053000
0.140297;5519.868000
0.137810;5561.342000
0.135322;5598.289000
0.132835;5626.303000
0.130347;5656.658000
0.127859;5707.158000
0.125371;5736.921000
0.122883;5780.987000
0.120395;5829.921000
0.117907;5855.395000
0.115419;5910.316000
0.112930;5920.737000
0.110442;5997.461000
0.107954;5999.408000
0.105465;6024.526000
0.102976;6048.434000
0.100488;6157.145000
0.097999;6166.145000
0.095510;6237.934000
0.093021;6283.776000
0.090532;6337.276000
0.088043;6421.868000
0.085554;6474.579000
0.083065;6533.645000
0.080576;6651.539000
0.078086;6733.421000
0.075597;6852.276000
0.073108;6991.618000
0.070618;7122.487000
0.068129;7305.974000
0.065639;7509.658000
0.063150;7747.303000
0.060660;8037.711000
0.058170;8466.250000
0.055681;9005.947000
0.053191;9728.816000
0.050701;9915.303000
0.048211;10196.120000
0.045722;10770.180000
0.043232;11540.470000
0.040742;12421.860000
0.038252;13558.110000
0.035762;14965.680000
0.033272;16869.720000
0.030782;20235.300000
0.028292;27638.630000
0.025802;33507.450000
0.023312;24339.450000
0.020822;23439.960000
0.018332;24684.610000
0.015842;27920.890000
0.013352;31214.670000
0.010862;34768.930000
0.008372;41734.840000
0.005881;48448.030000
0.003391;57001.460000
0.000901;62228.240000
-0.001589;61547.880000
-0.004079;36024.470000
-0.006569;662.000000
-0.009059;605.144700
-0.011549;584.776300
-0.014039;582.684200
-0.016529;580.171100
-0.019019;575.078900
-0.021509;569.513200
-0.023999;562.986800
-0.026489;559.881600
-0.028979;556.355300
